Time resolution is 1 ps
a= 01, b = a5, sum= a6

a= 02, b = a5, sum= a7

a= 03, b = a5, sum= a8

a= 04, b = a5, sum= a9

a= 05, b = a5, sum= aa

a= 06, b = a5, sum= ab

a= 07, b = a5, sum= ac

a= 08, b = a5, sum= ad

a= 09, b = a5, sum= ae

a= 0a, b = a5, sum= af

a= 0b, b = a5, sum= b0

a= 0c, b = a5, sum= b1

a= 0d, b = a5, sum= b2

a= 0e, b = a5, sum= b3

a= 0f, b = a5, sum= b4

a= 10, b = a5, sum= b5

a= 11, b = a5, sum= b6

a= 12, b = a5, sum= b7

a= 13, b = a5, sum= b8

a= 14, b = a5, sum= b9

a= 15, b = a5, sum= ba

a= 16, b = a5, sum= bb

a= 17, b = a5, sum= bc

a= 18, b = a5, sum= bd

a= 19, b = a5, sum= be

a= 1a, b = a5, sum= bf

a= 1b, b = a5, sum= c0

a= 1c, b = a5, sum= c1

a= 1d, b = a5, sum= c2

a= 1e, b = a5, sum= c3

a= 1f, b = a5, sum= c4

a= 20, b = a5, sum= c5

a= 21, b = a5, sum= c6

a= 22, b = a5, sum= c7

a= 23, b = a5, sum= c8

a= 24, b = a5, sum= c9

a= 25, b = a5, sum= ca

a= 26, b = a5, sum= cb

a= 27, b = a5, sum= cc

a= 28, b = a5, sum= cd

a= 29, b = a5, sum= ce

a= 2a, b = a5, sum= cf

a= 2b, b = a5, sum= d0

a= 2c, b = a5, sum= d1

a= 2d, b = a5, sum= d2

a= 2e, b = a5, sum= d3

a= 2f, b = a5, sum= d4

a= 30, b = a5, sum= d5

a= 31, b = a5, sum= d6

a= 32, b = a5, sum= d7

a= 33, b = a5, sum= d8

a= 34, b = a5, sum= d9

a= 35, b = a5, sum= da

a= 36, b = a5, sum= db

a= 37, b = a5, sum= dc

a= 38, b = a5, sum= dd

a= 39, b = a5, sum= de

a= 3a, b = a5, sum= df

a= 3b, b = a5, sum= e0

a= 3c, b = a5, sum= e1

a= 3d, b = a5, sum= e2

a= 3e, b = a5, sum= e3

a= 3f, b = a5, sum= e4

a= 40, b = a5, sum= e5

a= 41, b = a5, sum= e6

a= 42, b = a5, sum= e7

a= 43, b = a5, sum= e8

a= 44, b = a5, sum= e9

a= 45, b = a5, sum= ea

a= 46, b = a5, sum= eb

a= 47, b = a5, sum= ec

a= 48, b = a5, sum= ed

a= 49, b = a5, sum= ee

a= 4a, b = a5, sum= ef

a= 4b, b = a5, sum= f0

a= 4c, b = a5, sum= f1

a= 4d, b = a5, sum= f2

a= 4e, b = a5, sum= f3

a= 4f, b = a5, sum= f4

a= 50, b = a5, sum= f5

a= 51, b = a5, sum= f6

a= 52, b = a5, sum= f7

a= 53, b = a5, sum= f8

a= 54, b = a5, sum= f9

a= 55, b = a5, sum= fa

a= 56, b = a5, sum= fb

a= 57, b = a5, sum= fc

a= 58, b = a5, sum= fd

a= 59, b = a5, sum= fe

a= 5a, b = a5, sum= ff

a= 5b, b = a5, sum= 00

a= 5c, b = a5, sum= 01

a= 5d, b = a5, sum= 02

